Seed,Model,Exact Match Rate (%),VBS Match Rate (%),Precision (%),Recall (%),F1-Score (%),Mean Solution Cost,Gap to BKS (%),Cost Gain vs SBS (%),SBS Solver,Strategy
38,Random Forest Classifier,26.024096385542165,27.831325301204817,22.59758583608385,26.024096385542165,22.108532226234693,22753.487843682422,4.008416611826425,0.5987696450822416,PCI + GLS,Random Forest Classifier
38,Multi-Layer Perceptron (MLP),20.389249304911957,21.839666357738647,20.97564927848535,20.389249304911957,20.08524530306307,22810.977579548962,4.425595094062659,0.3476191174280819,PCI + GLS,Multi-Layer Perceptron (MLP)
38,Gradient Boosting Regressor,21.093605189990733,22.84522706209453,4.44940179911204,21.093605189990733,7.34869821099325,22918.957221192464,4.520578845608326,-0.12410237452012271,PCI + GLS,Gradient Boosting Regressor
38,LightGBM Ranker (LTR),25.593141797961078,27.3725671918443,18.250330423784863,25.593141797961078,19.163331308500666,22748.97749459376,4.005387520784194,0.618473624174291,PCI + GLS,LightGBM Ranker (LTR)
38,Single Best Solver (SBS: PCI + GLS),19.471733086190916,21.005560704355887,3.791483893798621,19.471733086190916,6.347081097523407,22890.549505715167,4.555792336987246,0.0,PCI + GLS,Single Best Solver (SBS)
38,Uniform Random Selection (1/9),11.028730305838739,11.974050046339203,15.41122447464112,11.028730305838739,12.430117218212084,23031.4125424776,5.645678193184955,-0.615376388090911,PCI + GLS,Uniform Random Selection (1/9)
38,Virtual Best Solver (VBS / Upper Bound),100.0,100.0,100.0,100.0,100.0,22550.484399135003,2.9449225195416506,1.4856135563511028,PCI + GLS,Virtual Best Solver (VBS / Upper Bound)
39,Gradient Boosting Classifier,26.05873261205564,27.330536542283063,24.336693303169064,26.05873261205564,24.493529037667567,23099.70476926474,4.5205406571060625,0.6809956172483856,PCI + GLS,Gradient Boosting Classifier
39,Random Forest Classifier,26.54890704349746,28.143077942150583,22.920339645875888,26.54890704349746,21.78126571605515,23102.637234120848,4.569434894784555,0.6683872530807342,PCI + GLS,Random Forest Classifier
39,Multi-Layer Perceptron (MLP),27.538087878118787,28.567012585559727,30.42430357763179,27.538087878118787,27.541152844317708,23108.80505630382,4.539785502207824,0.6418682146539896,PCI + GLS,Multi-Layer Perceptron (MLP)
39,Gradient Boosting Regressor,20.649149922720248,21.867962022521528,4.435971348968097,20.649149922720248,7.302744342873712,23272.906278059912,4.931868734706077,-0.06369794411761688,PCI + GLS,Gradient Boosting Regressor
39,LightGBM Ranker (LTR),28.08125413998675,29.40604990064032,15.70696930628549,28.08125413998675,19.561675997387496,23080.195547214247,4.408266255735946,0.7648770577122922,PCI + GLS,LightGBM Ranker (LTR)
39,Single Best Solver (SBS: PCI + GLS),20.551998233605655,22.044601457275338,4.223846313941299,20.551998233605655,7.007509416403583,23258.091352027674,4.889209394494667,0.0,PCI + GLS,Single Best Solver (SBS)
